conversion_year,paper,raw_mark,scaled_score
2026,reading,0,
2026,reading,1,
2026,reading,2,
2026,reading,3,80
2026,reading,4,81
2026,reading,5,83
2026,reading,6,84
2026,reading,7,85
2026,reading,8,86
2026,reading,9,88
2026,reading,10,89
2026,reading,11,90
2026,reading,12,91
2026,reading,13,91
2026,reading,14,92
2026,reading,15,93
2026,reading,16,94
2026,reading,17,95
2026,reading,18,95
2026,reading,19,96
2026,reading,20,97
2026,reading,21,97
2026,reading,22,98
2026,reading,23,98
2026,reading,24,99
2026,reading,25,100
2026,reading,26,101
2026,reading,27,101
2026,reading,28,102
2026,reading,29,103
2026,reading,30,103
2026,reading,31,104
2026,reading,32,104
2026,reading,33,105
2026,reading,34,106
2026,reading,35,107
2026,reading,36,108
2026,reading,37,108
2026,reading,38,109
2026,reading,39,110
2026,reading,40,111
2026,reading,41,112
2026,reading,42,112
2026,reading,43,113
2026,reading,44,115
2026,reading,45,117
2026,reading,46,118
2026,reading,47,119
2026,reading,48,120
2026,reading,49,120
2026,reading,50,120
2026,gps,0,
2026,gps,1,
2026,gps,2,
2026,gps,3,80
2026,gps,4,81
2026,gps,5,82
2026,gps,6,83
2026,gps,7,84
2026,gps,8,85
2026,gps,9,85
2026,gps,10,86
2026,gps,11,87
2026,gps,12,88
2026,gps,13,89
2026,gps,14,90
2026,gps,15,91
2026,gps,16,91
2026,gps,17,92
2026,gps,18,92
2026,gps,19,93
2026,gps,20,93
2026,gps,21,94
2026,gps,22,94
2026,gps,23,95
2026,gps,24,95
2026,gps,25,96
2026,gps,26,96
2026,gps,27,97
2026,gps,28,97
2026,gps,29,98
2026,gps,30,98
2026,gps,31,99
2026,gps,32,99
2026,gps,33,100
2026,gps,34,100
2026,gps,35,100
2026,gps,36,100
2026,gps,37,101
2026,gps,38,101
2026,gps,39,101
2026,gps,40,102
2026,gps,41,103
2026,gps,42,103
2026,gps,43,104
2026,gps,44,104
2026,gps,45,105
2026,gps,46,105
2026,gps,47,106
2026,gps,48,106
2026,gps,49,107
2026,gps,50,107
2026,gps,51,108
2026,gps,52,108
2026,gps,53,108
2026,gps,54,109
2026,gps,55,110
2026,gps,56,111
2026,gps,57,112
2026,gps,58,113
2026,gps,59,113
2026,gps,60,114
2026,gps,61,115
2026,gps,62,116
2026,gps,63,117
2026,gps,64,118
2026,gps,65,119
2026,gps,66,119
2026,gps,67,120
2026,gps,68,120
2026,gps,69,120
2026,gps,70,120
2026,maths,0,
2026,maths,1,
2026,maths,2,
2026,maths,3,80
2026,maths,4,81
2026,maths,5,81
2026,maths,6,82
2026,maths,7,82
2026,maths,8,83
2026,maths,9,83
2026,maths,10,84
2026,maths,11,84
2026,maths,12,85
2026,maths,13,85
2026,maths,14,86
2026,maths,15,86
2026,maths,16,87
2026,maths,17,87
2026,maths,18,88
2026,maths,19,88
2026,maths,20,89
2026,maths,21,89
2026,maths,22,90
2026,maths,23,90
2026,maths,24,91
2026,maths,25,91
2026,maths,26,91
2026,maths,27,92
2026,maths,28,92
2026,maths,29,93
2026,maths,30,93
2026,maths,31,93
2026,maths,32,94
2026,maths,33,94
2026,maths,34,94
2026,maths,35,95
2026,maths,36,95
2026,maths,37,95
2026,maths,38,95
2026,maths,39,96
2026,maths,40,96
2026,maths,41,96
2026,maths,42,96
2026,maths,43,97
2026,maths,44,97
2026,maths,45,97
2026,maths,46,97
2026,maths,47,98
2026,maths,48,98
2026,maths,49,98
2026,maths,50,98
2026,maths,51,98
2026,maths,52,98
2026,maths,53,99
2026,maths,54,99
2026,maths,55,99
2026,maths,56,100
2026,maths,57,100
2026,maths,58,100
2026,maths,59,101
2026,maths,60,101
2026,maths,61,101
2026,maths,62,101
2026,maths,63,101
2026,maths,64,101
2026,maths,65,102
2026,maths,66,102
2026,maths,67,102
2026,maths,68,102
2026,maths,69,103
2026,maths,70,103
2026,maths,71,103
2026,maths,72,103
2026,maths,73,103
2026,maths,74,104
2026,maths,75,104
2026,maths,76,105
2026,maths,77,105
2026,maths,78,105
2026,maths,79,105
2026,maths,80,106
2026,maths,81,106
2026,maths,82,106
2026,maths,83,106
2026,maths,84,106
2026,maths,85,107
2026,maths,86,107
2026,maths,87,108
2026,maths,88,108
2026,maths,89,108
2026,maths,90,109
2026,maths,91,109
2026,maths,92,109
2026,maths,93,110
2026,maths,94,110
2026,maths,95,110
2026,maths,96,111
2026,maths,97,111
2026,maths,98,112
2026,maths,99,112
2026,maths,100,113
2026,maths,101,113
2026,maths,102,114
2026,maths,103,114
2026,maths,104,115
2026,maths,105,115
2026,maths,106,116
2026,maths,107,117
2026,maths,108,118
2026,maths,109,119
2026,maths,110,120
